PPG	ABP	ECG
2.390029326	64.91381458	0.430107527
1.180840665	75.90373804	1.025415445
2.8514174	98.56740242	0.795210166
1.487781036	98.90931115	0.654936461
1.308895406	61.59241549	0.750244379
1.100684262	59.24789848	0.705278592
2.793743891	87.52863486	0.544965787
1.319648094	69.16325165	0.609970674
1.43597263	63.54617966	0.654936461
0.998044966	83.13266547	0.600195503
1.189638319	78.68785198	0.775171065
2.636363636	70.67741888	-1.642578125
1.407624633	76.34333498	1.6796875
1.055718475	62.03201243	0.529296875
1.752688172	67.16064337	-3.498046875
1.160312805	75.61067341	0.509765625
1.350928641	59.93171594	0.5546875
1.254154448	60.42015698	0.39453125
1.687194526	121.0356904	3.0390625
1.461388074	103.2564364	0.544921875
1.179863148	89.09164619	0.53515625
1.678396872	88.74973746	-3.498046875
0.99315738	101.7911133	0.5859375
1.93255132	79.12744892	0.255859375
1.356793744	75.80604983	-3.498046875
1.561094819	83.27919778	0.484375
1.705767351	96.56479415	0.64453125
1.700879765	80.34855153	0.6640625
2.175953079	79.66473407	0.490234375
2.397849462	115.1255538	0.654296875
1.77028348	87.91938769	0.595703125
2.568914956	85.57487069	0.095703125
1.589442815	86.55175277	0.42578125
0.31769306	81.94268706	0.375615764
0.669599218	68.83967982	0.679802956
0.582600196	84.48506159	0.689655172
0.47311828	104.8240579	0.655172414
0.288367546	170.3390941	0.650246305
0.563049853	92.69888703	0.570197044
0.377321603	147.8488578	0.552955665
0.30400782	151.1735014	0.699507389
0.306940371	132.203476	0.560344828
2.601173021	86.98166586	0.439941406
2.743890518	72.43580664	1.044921875
2.928641251	87.91938769	0.509765625
2.663734115	83.46466949	-0.500307882
1.554252199	104.0379421	0.390029326
1.204301075	93.29223916	0.450123153
1.928641251	70.38435426	0.199815271
1.740957967	65.06034689	0.204741379
1.72629521	69.43657514	0.395012315
1.255131965	136.4704273	0.28479064
1.402737048	86.30753225	0.384852217
0.593352884	84.93989733	0.270012315
1.789833822	60.5666893	0.124692118
0.31085044	122.0339779	0.464705882
0.18572825	105.606327	0.474509804
0.432062561	71.38205436	0.670588235
0.421309873	75.48896707	0.4453125
1.304985337	75.96222729	0.244868035
1.304985337	75.96242517	0.244868035
1.348973607	82.13632598	0.219941349
1.826979472	105.737407	0.66015625
1.520039101	108.1209924	0.700195313
1.506353861	106.8705869	0.669921875
2.108504399	83.85531246	0.739746094
2.589442815	76.19657936	0.75
2.655913978	78.50201432	0.734863281
2.641251222	70.25715369	0.734863281
2.592375367	106.7533614	0.614746094
2.069403715	66.85761399	0.824707031
1.259042033	90.8497677	0.595214844
1.129032258	116.9910557	0.674804688
2.813294233	83.50363594	0.799804688
1.263929619	85.22294338	0.705078125
1.070381232	103.0021452	0.75
2.782991202	94.56190874	0.759765625
0.959921799	132.2303716	0.669921875
1.410557185	110.113826	0.779785156
1.099706745	139.4202026	0.719726563
2.27370479	122.6767324	0.814941406
1.238514174	111.0127717	0.620117188
1.316715543	111.364449	0.674804688
1.992179863	80.59269332	0.555175781
1.649071359	150.810909	0.739746094
1.335288368	136.5093693	0.725097656
1.520039101	69.33902269	0.345214844
2.786901271	91.78775108	0.419921875
1.787878788	79.12737162	0.770019531
1.364613881	128.5966321	0.725097656
1.697947214	66.23249756	0.319648094
1.697947214	66.23260539	0.319648094
1.08113392	121.6805514	0.379765396
2.649071359	76.58763032	-0.500488759
0.981427175	111.1302146	0.345063539
2.133919844	96.20344175	0.785434995
2.750733138	95.26563404	-0.455522972
2.794721408	89.71693837	0.459921799
1.883675464	136.6854749	0.390029326
2.65200391	90.18584223	0.369990225
1.960899316	106.6756279	0.410068426
1.114369501	96.61348095	0.195014663
1.114369501	96.61363825	0.195014663
2.480938416	78.34594325	0.149560117
1.957966764	89.53124313	0.214565005
1.749755621	91.97344834	0.23998045
1.833822092	74.24303849	0.144672532
1.240469208	94.65987408	0.189638319
2.373411535	76.34333498	0.199902248
2.520039101	70.82395119	-0.405669599
2.349951124	88.74973746	0.189638319
1.855327468	95.53906796	0.660312805
1.349951124	79.86011049	0.154936461
2.89540567	65.35341152	0.124633431
1.817204301	63.79040018	0.390029326
1.648093842	111.3157136	-0.500488759
1.632453568	96.80901467	0.199902248
2.018572825	56.61031685	0.37487781
1.209188661	91.38731909	0.214565005
0.959921799	84.79336502	0.199902248
1.543499511	62.22738884	0.419843597
2.782013685	75.07326604	0.280058651
2.782013685	75.07338827	0.280058651
1.150537634	128.1180855	0.345063539
1.635386119	54.36348806	-0.225317693
1.309872923	112.4879721	0.249755621
1.9257087	59.15021027	-0.220430108
2.831867058	79.76242228	0.304985337
2.518084066	59.58980721	1.500977517
1.197458456	106.822056	0.459921799
2.50342131	95.73444437	-0.215542522
2.284457478	68.87018702	-0.500488759
1.495601173	94.51334177	-2.00390625
1.575757576	57.00106969	0.269794721
1.523949169	101.4492046	0.319648094
1.457478006	94.75756229	0.284946237
2.417399804	83.4745742	1.020527859
1.203323558	97.59036145	0.379824133
1.203323558	97.590425	0.37992278
2.81427175	72.03521461	0.284942085
1.090909091	138.6780454	0.21969112
2.667644184	73.91082638	0.264864865
2.879765396	91.49468674	0.38996139
2.467253177	77.42759845	0.658301158
2.782991202	97.35597353	0.24980695
1.405669599	159.4270006	0.43976834
1.652981427	64.64999326	0.374755382
2.804496579	97.88348934	0.474559687
1.664711632	70.67741888	0.459975369
1.457478006	93.97590361	0.580078125
1.457478006	93.97605662	0.580078125
2.640273705	74.97557799	1.5
1.472140762	79.42051355	0.265136719
2.042033236	82.74191264	0.175292969
0.868035191	72.09389791	0.274902344
2.401759531	78.98091661	0.129882813
0.959921799	84.79336502	0.290039063
1.189638319	137.0077125	0.175292969
1.565982405	105.6986416	0.254882813
1.062561095	117.4212267	0.115234375
1.582600196	64.81612637	0.354980469
2.521994135	87.23557023	0.345214844
1.130009775	158.3525861	0.28515625
1.495601173	112.0972193	0.41015625
1.685239492	71.80083328	0.41015625
1.035190616	120.8891581	0.274902344
1.099706745	103.8425657	0.205078125
2.646138807	93.63414789	0.430175781
1.121212121	62.9112063	0.229980469
1.208211144	70.43319836	0.509765625
1.26686217	137.8869064	0.314941406
1.42228739	161.2832323	0.345214844
1.17888563	138.4730356	0.260253906
0.987292278	136.9100243	0.084960938
1.346041056	75.17107648	0.555175781
1.691104594	137.7892182	0.165039063
1.835777126	109.7527023	0.220214844
1.615835777	79.66473407	0.314941406
0.767350929	73.99881797	0.280273438
1.825024438	104.4286949	0.265136719
2.822091887	97.49283213	0.120117188
2.747800587	105.0148242	0.200195313
2.8514174	120.0977663	0.205078125
1.174975562	95.71481323	0.225097656
1.598240469	145.2426866	0.240234375
2.058651026	87.62623746	0.265136719
1.673509286	72.56273042	0.270019531
1.686217009	92.4911055	0.290039063
1.7028348	81.64772494	0.435058594
2.196480938	90.73271946	-0.020019531
1.367546432	106.6754195	0.220214844
0.921798631	73.67637491	0.254882813
1.651026393	55.91667595	0.370117188
1.644183773	50.81735644	0.560058594
2.706744868	71.62492454	0.220214844
1.481915934	121.7389266	0.180175781
2.106549365	84.22669113	0.274902344
2.086021505	86.33675437	0.254882813
1.467253177	142.4292689	0.229980469
1.594330401	95.24591029	0.290039063
1.546432063	66.29115356	0.225097656
1.783968719	59.60928662	0.370117188
1.978494624	66.47671768	0.240234375
1.978494624	66.47682591	0.240234375
1.852394917	85.03758554	0.634765625
1.399804497	94.75756229	0.234863281
1.544477028	139.4499177	0.245117188
1.862170088	90.85003395	0.149902344
1.51026393	131.1952641	0.234863281
1.279569892	129.7295608	0.369990225
1.270772239	91.82664692	1.130498534
2.340175953	74.59449743	0.294721408
2.132942326	84.08976348	0.219941349
1.522971652	72.60166382	0.300097752
1.864125122	141.4130363	0.390029326
1.391006843	55.95564187	0.325024438
1.099706745	129.6514104	0.359726295
1.15542522	140.201706	0.365102639
2.19257087	104.0180996	0.404692082
0.521994135	91.91661794	0.859375
0.457478006	120.665007	0.4296875
2.627565982	83.86519049	-0.045454545
2.627565982	83.86532704	-0.045454545
1.065493646	95.34369154	-0.080645161
2.41544477	83.62110651	-0.110459433
0.295210166	102.2816834	0.484375
0.413489736	89.96094522	0.435546875
0.605083089	68.05741073	0.404296875
0.413489736	79.40031252	0.314453125
0.403714565	52.60759622	0.339530333
0.410557185	55.14997076	0.305283757
0.372434018	93.87229066	0.384540117
0.680351906	59.8435853	0.384540117
0.360703812	51.62975986	0.319960861
0.416422287	52.41196745	0.329745597
0.346041056	86.36240607	0.424657534
0.265884653	79.32199253	0.405088063
0.512218964	56.79266921	0.395303327
0.398826979	64.92825819	0.429549902
0.47311828	56.01040104	0.490215264
0.436950147	63.52017548	0.5
